etat_ordinateur,marque_ordinateur,prix_ordinateur,adresse,image_ordinateur
VenantDell,Écran pc dell 24 pouces full HD,45 000,Yoff Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d90f1a5a315b6343bafe1ea6dc0a64bf/-/horizon-files-prod/ed/picture/qq42vqk7/507d152e52162f6fd02ac782f9d527171631ece1.jpg
VenantHP,HP PROBOOK 440 G6 | i5 | 8eme GEN,175 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/356e0ce1a85cfbabeab089bcb4f93d19/-/horizon-files-prod/ed/picture/q2jrv8pq/73301dc1baf72a5438eeb798c9690ea36ec47eec.jpg
VenantDell,DELL LATITUDE 3190 DUAL CORE,84 900,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f2a4c79cf3ee5163a9a966b6cba98a35/-/horizon-files-prod/ed/picture/qgqw44kk/7537f2f0a5906914739a48e58b0e9818f5cb17d9.jpg
NeufHP,Hp probook,100 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a67419cca9d6c6bdee5e3cf4b1a136f/-/horizon-files-prod/ed/picture/q44nqg98/30ec56baf916816fe54ee4d63e7f29ba57f635fd.jpg
NeufApple,MacBook Air M2 2022 13.3 Pouce,650 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/04c2f4cfe5a5c88bf72d2e18724684cd/-/horizon-files-prod/ed/picture/qwepe9q0/39b74faa46bcf32f0d4f9345d317ab5208190e17.jpg
NeufAutre,Support ordinateur avec refroidissement par ventilateur,25 000,Grand-Dakar Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f3f497aee412f4d889fec7a0a9103c1b/-/horizon-files-prod/ed/picture/q9m9j6q7/555b88b0ba7b0df12061889b99bbee0f056e4301.jpg
RéconditionnéHP,HP PROBOOK 450 G8 I7,249 999,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c8c66d23aa2f2e68c26c6119220903ca/-/horizon-files-prod/ed/picture/qq47dd7p/2d878636486afba8a038fc2ab293686fa42f3973.jpg
NeufApple,Mac book Air M3 2024 256SSD Ram8 13 pouce neuf,745 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/79ac4d0a68daf49df55ed205fa1cb11a/-/horizon-files-prod/ed/picture/q78w0n8e/831d13f7778c7b924d8a8e46802dc5f18a166fdd.jpg
NeufHP,HP ELITEBOOK,220 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/09f38b8a82cf831f88d88170ad80f0f4/-/horizon-files-prod/ed/picture/q9m9p6v5/61b8033983768b316f1e92dd08bebae1117f279c.jpg
NeufDell,Dell Latitude 5450 Ultra7 Ultra 7,675 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cf3d09240babdca8c941b3a94820fddd/-/horizon-files-prod/ed/picture/qq42rmvz/58537c6071061c0477dbe0a88b639ef348e9a2c8.jpg
RéconditionnéApple,MACBOOK AIR 2015 11 POUCES,175 000,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/78adedc1e4458a4ddfc0d61a06d0a962/-/horizon-files-prod/ed/picture/qv4wm8qv/5e3ee9f77e1e0fdb7a4ae92044a58472dc882d4b.jpg
NeufMicrosoft Surface,Surface Laptop 7,700 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bbfa43779cbe4b25d29bafda67e098bc/-/horizon-files-prod/ed/picture/qngpqwqe/1324b1e3638fccdfc57f3931f9c4c381f3cc4f95.jpg
Venant,Msi Gamer Corei7 Ram32 Gtx 8Giga dédié,400 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/769f0952d60b06904aeb4bde460db4d2/-/horizon-files-prod/ed/picture/qq428824/cd8100f3263bdf23324a4d26a187260e57145067.jpg
NeufHP,Hp EliteBook 840 G8 i7 11th,450 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3965201b976566f5d44836deecb6de11/-/horizon-files-prod/ed/picture/q6xdw2kz/60eb997950fd21050f013ff51ac4830a23304d17.jpg
NeufHP,HP 290G9,425 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e82c9ecad5884f85b3398fbcddaf4370/-/horizon-files-prod/ed/picture/q8v48qj7/2a21622b553b216ffe4636e17b39f0c3ca25c55c.jpg
VenantHP,Ordinateur Hp EliteBook 820 G3,165 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c40d8c9bbf39799c63ed3eacceb6a643/-/horizon-files-prod/ed/picture/qv7vvdp/6595d549513f932c8db7cf057997188bcc2fcfb7.jpg
NeufLenovo,Lenovo yoga 15,350 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2fd764437b630fd3147f077bd6db6aa/-/horizon-files-prod/ed/picture/qrz8x0mg/aacfbef47193602901f63bd5cd6483e419a37e15.jpg
